City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,yeosu,34.7546,127.6599,26.47,75,93,10.23,KR,1691648881
301,barro alto,-11.7608,-41.9117,15.36,86,0,3.29,BR,1691648881
302,kourou,5.1552,-52.6478,23.03,91,17,2.79,GF,1691648882
303,el granada,37.5027,-122.4694,17.19,91,100,5.66,US,1691648882
304,naze,28.3667,129.4833,29.51,78,65,4.87,JP,1691648882
305,pingliang,35.5392,106.6861,27.86,63,89,3.0,CN,1691648883
306,maksatikha,57.797,35.8825,17.58,70,0,2.33,RU,1691648883
307,dryden,49.7833,-92.7503,12.16,87,100,2.57,CA,1691648884
308,ladario,-19.0047,-57.6017,23.73,57,2,0.24,BR,1691648884
309,bikenibeu village,1.3673,173.1241,29.98,74,20,2.06,KI,1691648885
310,necochea,-38.5473,-58.7368,9.6,93,100,5.19,AR,1691648885
311,williams lake,52.1415,-122.1445,13.92,96,100,0.0,CA,1691648886
312,at taj,24.2049,23.2857,31.62,24,0,6.88,LY,1691648886
313,turpan,42.9333,89.1667,39.79,16,0,2.54,CN,1691648887
314,al aaroui,35.0118,-3.0045,24.14,94,40,1.54,MA,1691648887
315,inarajan village,13.2736,144.7484,29.66,91,100,9.28,GU,1691648887
316,taoudenni,22.6783,-3.9836,34.78,29,32,1.95,ML,1691648888
317,hacienda huancane,-15.8222,-70.8856,0.92,64,0,1.63,PE,1691648888
318,gadzhiyevo,69.2551,33.3362,20.91,65,3,3.5,RU,1691648889
319,nguigmi,14.2495,13.1092,26.45,70,100,4.19,NE,1691648890
320,lebu,-37.6167,-73.65,11.36,89,59,5.66,CL,1691648891
321,raduzhny,62.0961,77.475,12.56,90,100,5.92,RU,1691648891
322,yangjiang,21.85,111.9667,32.32,63,81,5.8,CN,1691648892
323,richards bay,-28.783,32.0377,18.68,75,100,2.05,ZA,1691648790
324,quibala,-10.7337,14.98,17.95,61,23,1.1,AO,1691648892
325,ar ruways,24.1103,52.7306,36.03,54,0,3.22,AE,1691648893
326,abepura,-2.6333,140.5833,32.45,55,20,3.09,ID,1691648893
327,gisborne,-38.6533,178.0042,10.36,74,98,2.79,NZ,1691648894
328,manado,1.487,124.8455,32.43,58,40,1.54,ID,1691648894
329,pavlodar,52.3,76.95,29.89,26,0,3.0,KZ,1691648895
330,masvingo,-20.0637,30.8277,12.37,90,72,3.23,ZW,1691648544
331,saipan,15.1355,145.701,27.39,100,40,7.2,MP,1691648895
332,armacao de buzios,-22.7469,-41.8817,20.03,86,65,7.71,BR,1691648896
333,camocim,-2.9022,-40.8411,23.57,90,32,5.19,BR,1691648608
